CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
09.319.567/0001-08;AGRICOLA VALE DO MANGEREBA SA;CIAS INCENTIVADAS REGISTRADAS;507032;23/12/1993;Cancelado
41.153.636/0001-50;AGRICOLA VALE DO MENDONCA SA;CIAS INCENTIVADAS REGISTRADAS;516554;28/09/2008;Cancelado
27.751.452/0001-61;AGRÍCOLA VALE VERDE SA;CIAS INCENTIVADAS REGISTRADAS;507407;14/02/2012;Cancelado
27.751.452/0001-61;AGRÍCOLA VALE VERDE SA;CIAS INCENTIVADAS REGISTRADAS;519871;16/09/2014;Cancelado
22.974.380/0001-06;AGRICULTURA MECANIZADA S/A;CIAS INCENTIVADAS REGISTRADAS;511005;24/10/2012;Cancelado
88.070.990/0001-85;AGRILEASING SA ARREND MERC;CIAS ABERTAS;191;30/09/1985;Cancelado
04.986.857/0001-83;AGRIMISA AGROPEC IND MIN PA SA;CIAS INCENTIVADAS REGISTRADAS;507008;28/09/2008;Cancelado
21.356.787/0001-07;AGRINCO-AGROPEC,IND E COM SA;CIAS INCENTIVADAS REGISTRADAS;510076;01/02/1991;Cancelado
07.467.822/0001-26;AGRIPEC QUIM E FARMAC;CIAS INCENTIVADAS REGISTRADAS;501808;12/01/2007;Cancelado
05.763.669/0001-59;AGRO AGRI RONDONIA SA;CIAS INCENTIVADAS REGISTRADAS;503460;14/02/2012;Cancelado
04.523.403/0001-76;AGRO IND JURUPARI ACRE SA;CIAS INCENTIVADAS REGISTRADAS;504548;23/09/2004;Cancelado
04.167.904/0001-67;AGRO INDL ITAPIRANGA SA;CIAS INCENTIVADAS REGISTRADAS;517216;28/09/2008;Cancelado
07.561.855/0001-30;AGRO INDL JAGUARUANA SA;CIAS INCENTIVADAS REGISTRADAS;509949;14/02/2012;Cancelado
13.642.699/0001-35;AGRO INDÚSTRIAS DO VALE SÃO FRANCISCO S/A;CIAS INCENTIVADAS REGISTRADAS;516147;21/10/1994;Concedido
34.738.393/0001-57;AGRO MECANIZ AGRI RONDONIA SA;CIAS INCENTIVADAS REGISTRADAS;509264;14/02/2012;Cancelado
09.273.145/0001-30;AGRO MERCANTIL URTIGAS SA AMUSA;CIAS INCENTIVADAS REGISTRADAS;520357;30/03/2016;Cancelado
09.242.066/0001-62;AGRO PASTORIL ANGICOS S. A....;CIAS INCENTIVADAS REGISTRADAS;515663;14/02/2012;Cancelado
09.378.563/0001-92;AGRO PASTORIL CARIRI SA CARIRISA;CIAS ABERTAS;205;09/08/2005;Cancelado
05.149.737/0001-94;AGRO UNA AGRICOLA CURUA UNA S/A;CIAS INCENTIVADAS REGISTRADAS;509825;14/02/2012;Cancelado
05.750.765/0001-62;AGROALEGRE AGROINDUSTRIAL E PASTORIL MONTE ALEGRE SA;CIAS INCENTIVADAS REGISTRADAS;504980;28/09/2008;Cancelado
07.066.491/0001-12;AGROBALSAS EMPREEND INDS E AGROPEC SA;CIAS INCENTIVADAS REGISTRADAS;519979;08/01/2015;Cancelado
04.657.227/0001-65;AGROBRAGANTINA SA;CIAS INCENTIVADAS REGISTRADAS;518379;17/11/2005;Cancelado
